payment_id,order_id,payment_method,amount,payment_date
1,1,Paypal,1514.1,2025-12-09
2,2,Bank Transfer,416.28,2025-12-26
3,3,Paypal,770.82,2025-09-05
4,4,Credit Card,55.45,2025-04-02
5,5,Credit Card,2422.5,2024-09-06
6,6,Credit Card,764.12,2024-09-30
7,7,Credit Card,34.1,2026-01-10
8,8,Credit Card,2389.1,2024-10-15
9,9,Bank Transfer,1097.31,2026-02-27
10,10,Bank Transfer,1168.12,2026-01-17
11,11,Bank Transfer,1039.32,2024-11-20
12,12,Credit Card,251.8,2026-02-09
13,13,Bank Transfer,1552.3500000000001,2025-07-22
14,14,Bank Transfer,21.34,2024-10-22
15,15,Paypal,200.41,2024-10-17
16,16,Credit Card,190.41,2025-01-23
17,17,Paypal,339.74,2025-02-28
18,18,Paypal,1344.03,2024-07-18
19,19,Paypal,1040.94,2025-06-04
20,20,Credit Card,,2026-05-29
21,21,Credit Card,709.88,2024-12-12
22,22,Paypal,2422.5,2026-04-21
23,23,Bank Transfer,498.57,2025-04-17
24,24,Credit Card,968.68,2024-08-29
25,25,Credit Card,1126.55,2024-06-04
26,26,Credit Card,295.49,2026-04-25
27,27,Paypal,471.15,2024-09-18
28,28,Bank Transfer,767.49,2026-02-09
29,29,Bank Transfer,441.02,2025-01-24
30,30,Credit Card,260.0,2025-04-03
31,31,Credit Card,521.5,2025-02-16
32,32,Paypal,279.8,2026-05-26
33,33,Paypal,192.5,2024-08-01
34,34,Credit Card,,2025-10-21
35,35,Paypal,167.32,2024-09-23
36,36,Bank Transfer,193.6,2024-11-07
37,37,Bank Transfer,305.52,2024-10-30
38,38,Bank Transfer,743.28,2026-06-01
39,39,Credit Card,893.48,2024-06-05
40,40,Bank Transfer,457.16999999999996,2024-06-17
41,41,Bank Transfer,1891.76,2025-07-03
42,42,Credit Card,573.65,2025-07-26
43,43,Paypal,330.54,2026-05-17
44,44,Credit Card,467.82,2024-12-15
45,45,Credit Card,42.05,2024-07-29
46,46,Credit Card,103.0,2026-02-06
47,47,Bank Transfer,739.86,2025-09-27
48,48,Credit Card,142.6,2025-09-01
49,49,Credit Card,878.76,2025-11-20
50,50,Paypal,678.56,2025-07-25
51,51,Bank Transfer,1530.0,2025-09-15
52,52,Bank Transfer,149.71,2024-11-04
53,53,Paypal,506.43,2026-04-03
54,54,Credit Card,737.75,2025-01-03
55,55,Paypal,103.3,2026-01-30
56,56,Bank Transfer,442.65000000000003,2024-10-31
57,57,Bank Transfer,467.04999999999995,2026-05-06
58,58,Paypal,80.08,2025-06-16
59,59,Credit Card,,2025-07-16
60,60,Paypal,788.44,2024-10-22
61,61,Bank Transfer,769.0500000000001,2026-01-31
62,62,Paypal,297.76,2026-01-27
63,63,Credit Card,433.77,2024-11-25
64,64,Bank Transfer,301.88,2024-12-28
65,65,Bank Transfer,596.8499999999999,2025-01-15
66,66,Credit Card,1337.9499999999998,2025-11-21
67,67,Bank Transfer,244.28,2024-10-25
68,68,Credit Card,475.0,2025-10-02
69,69,Credit Card,814.77,2024-10-30
70,70,Bank Transfer,222.29999999999998,2024-07-12
71,71,Bank Transfer,2338.25,2024-07-06
72,72,Credit Card,319.15,2026-01-22
73,73,Paypal,430.44,2024-08-15
74,74,Credit Card,775.24,2024-10-22
75,75,Credit Card,712.36,2025-06-04
76,76,Credit Card,470.6,2025-06-03
77,77,Credit Card,172.76,2025-05-30
78,78,Credit Card,302.94,2026-04-07
79,79,Paypal,969.24,2024-06-28
80,80,Credit Card,1507.2,2024-11-26
81,81,Paypal,1481.24,2026-01-14
82,82,Credit Card,1348.28,2025-02-13
83,83,Credit Card,1057.1999999999998,2025-06-11
84,84,Bank Transfer,99.9,2026-03-02
85,85,Paypal,161.97,2024-09-10
86,86,Bank Transfer,497.12,2024-08-21
87,87,Credit Card,752.64,2026-01-13
88,88,Credit Card,1777.0,2024-06-13
89,89,Paypal,1988.48,2025-02-24
90,90,Credit Card,2373.3,2024-07-07
91,91,Paypal,982.88,2025-12-12
92,92,Paypal,1182.33,2025-10-23
93,93,Credit Card,1225.28,2025-01-26
94,94,Credit Card,730.7,2026-01-25
95,95,Bank Transfer,654.54,2024-09-24
96,96,Paypal,332.48,2025-07-16
97,97,Paypal,1329.08,2024-07-04
98,98,Bank Transfer,381.9,2025-02-26
99,99,Credit Card,101.21,2024-12-30
100,100,Paypal,1358.58,2024-11-23
101,101,Paypal,1958.32,2026-04-08
102,102,Bank Transfer,2277.75,2026-01-07
103,103,Bank Transfer,403.12,2024-10-02
104,104,Credit Card,872.44,2025-09-17
105,105,Credit Card,638.2,2025-06-08
106,106,Paypal,407.19,2025-03-29
107,107,Paypal,1157.2,2025-09-14
108,108,Credit Card,54.27,2026-04-04
109,109,Credit Card,209.89999999999998,2024-06-13
110,110,Credit Card,943.6500000000001,2024-11-22
111,111,Paypal,332.07,2024-06-26
112,112,Credit Card,192.5,2025-07-17
113,113,Paypal,944.8199999999999,2025-09-08
114,114,Bank Transfer,,2025-08-20
115,115,Credit Card,535.26,2025-07-10
116,116,Bank Transfer,,2025-07-04
117,117,Credit Card,287.68,2025-05-31
118,118,Credit Card,468.39,2024-11-19
119,119,Paypal,1343.6999999999998,2024-08-25
120,120,Credit Card,424.25,2024-10-02
121,121,Bank Transfer,396.66,2026-03-10
122,122,Bank Transfer,2073.3,2025-02-04
123,123,Credit Card,1184.05,2024-09-05
124,124,Bank Transfer,1254.54,2025-12-15
125,125,Paypal,271.59,2025-07-09
126,126,Paypal,832.56,2024-08-10
127,127,Bank Transfer,534.5,2025-02-11
128,128,Bank Transfer,1656.0,2025-06-18
129,129,Bank Transfer,1143.45,2024-11-12
130,130,Credit Card,873.4499999999999,2025-02-07
131,131,Paypal,278.22,2025-12-17
132,132,Bank Transfer,,2024-07-09
133,133,Bank Transfer,190.95,2025-12-10
134,134,Paypal,,2025-08-15
135,135,Credit Card,688.56,2026-05-31
136,136,Credit Card,754.96,2025-04-29
137,137,Credit Card,119.13,2025-06-11
138,138,Paypal,28.54,2024-12-07
139,139,Bank Transfer,553.6999999999999,2025-10-08
140,140,Credit Card,249.91,2024-07-13
141,141,Bank Transfer,1572.75,2024-11-27
142,142,Credit Card,403.82,2026-03-22
143,143,Bank Transfer,2027.4,2024-10-31
144,144,Credit Card,304.0,2025-09-17
145,145,Paypal,860.16,2024-10-16
146,146,Paypal,,2025-01-23
147,147,Credit Card,257.46,2025-10-11
148,148,Paypal,165.62,2024-07-24
149,149,Credit Card,1245.8700000000001,2026-03-10
150,150,Credit Card,346.9,2024-09-08
151,151,Bank Transfer,489.78,2026-02-19
152,152,Credit Card,396.2,2024-06-22
153,153,Credit Card,458.35,2025-04-20
154,154,Paypal,712.16,2025-05-24
155,155,Paypal,1792.0,2025-09-06
156,156,Paypal,1424.72,2025-06-19
157,157,Credit Card,636.66,2024-07-13
158,158,Paypal,1893.36,2026-03-21
159,159,Credit Card,1322.3500000000001,2024-08-17
160,160,Bank Transfer,78.88,2025-03-03
161,161,Credit Card,231.71,2025-10-21
162,162,Credit Card,61.980000000000004,2026-01-04
163,163,Credit Card,946.22,2025-12-17
164,164,Bank Transfer,1461.4,2026-04-04
165,165,Bank Transfer,142.85999999999999,2024-10-09
166,166,Bank Transfer,233.97,2025-09-09
167,167,Bank Transfer,205.3,2025-03-23
